original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Magnay (Sir William)-Paul Burdon. Cr. 8vo., 77 X5, pp. 332, 6s. ...S. PAUL, Aug. 12",190,200,,Magnay (Sir William),Paul Burdon.,Cr. 8vo.,"77 X5, pp. 332, 6s. ...",S. PAUL,Aug. 12,False,1912
"Magnay (Sir William)—Rogues in Arcady. Cr. 8vo. 73 x5, pp. 320, 6s..... . WARD, L., Apr. 12",190,200,,Magnay (Sir William),Rogues in Arcady.,Cr. 8vo.,"73 x5, pp. 320, 6s..... .","WARD, L.",Apr. 12,False,1912
"Magoun (Jeanne Bartholomew)—The Mission of Victoria Wilhelmina, Cr. 8vo. 71 X41, pp. 200, 28. net ..PUTNAM, Oct. 12",190,200,,Magoun (Jeanne Bartholomew),"The Mission of Victoria Wilhelmina,",Cr. 8vo.,"71 X41, pp. 200, 28. net ..",PUTNAM,Oct. 12,False,1912
"Magruder (Julia)-Her husband : the mystery of Cr. 8vo. 7* X5, pp. 474, 6s. RICHARDS, May 12",190,200,,Magruder (Julia),Her husband : the mystery of,Cr. 8vo.,"7* X5, pp. 474, 6s.",RICHARDS,May 12,False,1912
"Maguire (T. M.)—The Campaign of 1805, Ulm and Austerlitz. Ryl. 8vo., 25. 6d. net W. CLOWES, Dec. 12",190,200,,Maguire (T. M.),"The Campaign of 1805, Ulm and Austerlitz.",Ryl. 8vo.,25. 6d. net,W. CLOWES,Dec. 12,False,1912
"Mahan (A. T.)—Armaments and arbitration ; or, The Place of force in the international relations of states. Cr. 8vo. 8} <5), pp. 268, 6s, net HARPER, Nov. 12",190,200,,Mahan (A. T.),"Armaments and arbitration ; or, The Place of force in the international relations of states.",Cr. 8vo.,"8} <5), pp. 268, 6s, net",HARPER,Nov. 12,False,1912
"Mahavamsa (The); or, The Great Chronicle of Ceylon. Trans. into English by William Geiger. 8vo., Ios. net .FROWDE, July 12",190,200,,,"Mahavamsa (The); or, The Great Chronicle of Ceylon. Trans. into English by William Geiger.",8vo.,Ios. net .,FROWDE,July 12,False,1912
"Malham-Dembleby (J.)-Original tales and ballads in the Yorkshire. 8vo. 45. 6d. net W. SCOTT, Dec, 12",191,201,,Malham-Dembleby (J.),Original tales and ballads in the Yorkshire.,8vo.,45. 6d. net,W. SCOTT,Dec. 12,False,1912
"Makower (S. V.) and Blackwell (B. H.) eds.—A Book of English essays, 1600-1900. I 2mo., pp. 450, Is. net, Ithr., is. 6d. net (World's classics) .FROWDE, May 12",191,201,,Makower (S. V.) and Blackwell (B. H.),"A Book of English essays, 1600-1900.",I 2mo.,"pp. 450, Is. net, Ithr., is. 6d. net (World's classics) .",FROWDE,May 12,False,1912
"Mako wer (W.) and Geiger (H.)-Practical measurements in radio-activity. 8vo. 8} X5, pp. 162, 55. net ....LONGMANS, Nov. 12",191,201,,Mako wer (W.) and Geiger (H.),Practical measurements in radio-activity.,8vo.,"8} X5, pp. 162, 55. net ....",LONGMANS,Nov. 12,False,1912
"Malcolm (Neill) - Bohemia, 1866. 8vo. 8x51 pp. 164, 5s. net (Campaigns and their lessons) CONSTABLE, Sep. 12",191,201,,Malcolm (Neill),"Bohemia, 1866.",8vo.,"8x51 pp. 164, 5s. net (Campaigns and their lessons)",CONSTABLE,Sep. 12,False,1912
"Malmesbury (Susan, Countess of) and Hunt (Violet) eds.--Golden string : a day book for busy men and women. Pop. edit. Cr. 8vo., pp. 382, is, net .MURRAY, Nov, 12",191,201,,"Malmesbury (Susan, Countess of) and Hunt (Violet) eds.",Golden string : a day book for busy men and women. Pop. edit.,Cr. 8vo.,"pp. 382, is, net .",MURRAY,Nov. 12,False,1912
"Manet (Edouard). With an intro. by Louis Hourticq, and notes by Jean Laran and Georges Le Bas. 4to. 81 X6, pp. 96, 3s. 6d. net (French artists of our day).. .HEINEMANN, Nov. 12",191,201,,Manet (Edouard),"With an intro. by Louis Hourticq, and notes by Jean Laran and Georges Le Bas.",4to.,"81 X6, pp. 96, 3s. 6d. net (French artists of our day)..",HEINEMANN,Nov. 12,False,1912
"Makinson (John T.)—The Art of modern fret. cutting : a practical manual. Cr. 8vo. 71 X41, pp. 152, Is. 60. net ....C. LOCKWOOD, Oct. 12",191,201,,Makinson (John T.),The Art of modern fret. cutting : a practical manual.,Cr. 8vo.,"71 X41, pp. 152, Is. 60. net ....",C. LOCKWOOD,Oct. 12,False,1912
"Mako wer (Stanley Victor)-The Outward appear- ance. Cr. 8vo. 71x5, pp. 310, 6s. M. SECKER, Feb. 12",191,201,,Mako wer (Stanley Victor),The Outward appear- ance.,Cr. 8vo.,"71x5, pp. 310, 6s.",M. SECKER,Feb. 12,False,1912
"Malay States and Straits Settlements—Emigrants, Information Office handbook. 60. WYMAN, May 12",191,201,,,"Malay States and Straits Settlements—Emigrants, Information Office handbook.",,60.,WYMAN,May 12,False,1912
"Malby (Reginald)— The Story of my rock garden. 8vo. 8} x5, pp. 130, 2s. 6d. net HEADLEY, May 12",191,201,,Malby (Reginald),The Story of my rock garden.,8vo.,"8} x5, pp. 130, 2s. 6d. net",HEADLEY,May 12,False,1912
"Malet (Lucas)-The History of Sir Richard Calmady. 8th and cheaper edit. Cr. 8vo. 7+ X5, pp. 622, 2s, net....METHUEN, Feb. 12",191,201,,Malet (Lucas),The History of Sir Richard Calmady. 8th and cheaper edit.,Cr. 8vo.,"7+ X5, pp. 622, 2s, net....",METHUEN,Feb. 12,False,1912
"Malet (Lucas)-Little Peter : a Christmas morality for children of any age. Illus. New edit. 8vo. 9 X64, pp. 176, 35. 6d. ......FROWDE, Oct. 12",191,201,,Malet (Lucas),Little Peter : a Christmas morality for children of any age. Illus. New edit.,8vo.,"9 X64, pp. 176, 35. 6d.",FROWDE,Oct. 12,False,1912
"Malet (Lucas)-The Wreck of the Golden Galleon. Re-issue. Cr. 8vo. 71 X 44, pp. 220, 2s. net HODDER & S., Mar. 12",191,201,,Malet (Lucas),The Wreck of the Golden Galleon. Re-issue.,Cr. 8vo.,"71 X 44, pp. 220, 2s. net",HODDER & S.,Mar. 12,False,1912
"Malherbe (François de)-Euvres. 12mo., pp. 230, IS. net .DENT, Oct. 12",191,201,,Malherbe (François de),Œuvres.,12mo.,"pp. 230, IS. net .",DENT,Oct. 12,False,1912
"Mallik (Manmath C.)-A Study in ideals : great Britain and India. 8vo. 9 X51, pp. 388, 1os. 6d. net UNWIN, Oct. 12",191,201,,Mallik (Manmath C.),A Study in ideals : great Britain and India.,8vo.,"9 X51, pp. 388, 1os. 6d. net",UNWIN,Oct. 12,False,1912
"Malloch (D. Macleod)— The Book of Glasgow anecdote. Illus. 8vo. 87 x 5), pp. 408, 5s. net FOULIS, Nov. 12",191,201,,Malloch (D. Macleod),The Book of Glasgow anecdote. Illus.,8vo.,"87 x 5), pp. 408, 5s. net",FOULIS,Nov. 12,False,1912
"Mallock (George Reston)-Arabella ; a play in 3 acts, Cr. 8vo. 8 X5, pp. 128, 25. 6d. net S. SWIFT, Oct. 12",191,201,,Mallock (George Reston),"Arabella ; a play in 3 acts,",Cr. 8vo.,"8 X5, pp. 128, 25. 6d. net",S. SWIFT,Oct. 12,False,1912
"Mallock (W. H.)-A Human document: a novel. New and cheaper edit. Cr. 8vo., 71 X5, pp. 372, 28. net ..........CHAPMAN & H., June 12",191,201,,Mallock (W. H.),A Human document: a novel. New and cheaper edit.,Cr. 8vo.,"71 X5, pp. 372, 28. net ..........",CHAPMAN & H.,June 12,False,1912
"Mallory (George)-Boswell the biographer. Cr. 8vo. 8} <5), pp. 350, 75. 6d. net SMITH, E., Oct. 12",191,201,,Mallory (George),Boswell the biographer.,Cr. 8vo.,"8} <5), pp. 350, 75. 6d. net","SMITH, E.",Oct. 12,False,1912
"Malone (H. l'Estrange)-Nipping bear. Illus. Cr. 8vo. 78 X 5, pp. 238, 39. 60. BLACK, Oct. 12",191,201,,Malone (H. l'Estrange),Nipping bear. Illus.,Cr. 8vo.,"78 X 5, pp. 238, 39. 60.",BLACK,Oct. 12,False,1912
"Malory (Sir Thomas)-Selections from. Chosen and edit. by H. Wragg. Cr. 8vo., 7X5, pp. 158, FROWDE, Aug. 12",191,201,,Malory (Sir Thomas),Selections from. Chosen and edit. by H. Wragg.,Cr. 8vo.,"7X5, pp. 158,",FROWDE,Aug. 12,False,1912
"Malvery (Olive Christian)--A Year and a day. Illus. Cr. 8vo. 73 x 44, pp. 348, 6s. HUTCHINSON, July 12",191,201,,Malvery (Olive Christian),A Year and a day. Illus.,Cr. 8vo.,"73 x 44, pp. 348, 6s.",HUTCHINSON,July 12,False,1912
"Manchester Oriental Society Journal. 1911. 8vo. 93 X 6, pp. 162, 5s. net MANCHESTER UNIV. PRESS, May 12",191,201,,,Manchester Oriental Society Journal. 1911.,8vo.,"93 X 6, pp. 162, 5s. net",MANCHESTER UNIV. PR.,May 12,False,1912
"Manchester playgoer (The). New ser. Vol. 1, No. 1, Sept., 1912. 4to., IS. SHERRATT & H., Sep. 12",191,201,,,"Manchester playgoer (The). New ser. Vol. 1, No. 1, Sept., 1912.",4to.,IS.,SHERRATT & H.,Sep. 12,False,1912
"Manhire (Wilson)-Little tunes for little people. 4to, pp. 36, is. net.... ..PITMAN, Aug. 12",191,201,,Manhire (Wilson),Little tunes for little people.,"4to,","pp. 36, is. net.... ..",PITMAN,Aug. 12,False,1912
"Mare au Diable, Sand (G.) IS. 6d....... MACNIVEN & W., Jan. 12",192,202,,,"Mare au Diable, Sand (G.)",,IS. 6d.......,MACNIVEN & W.,Jan. 12,False,1912
"Marcantonio and Italian engravers and etchers of the 16th Century. 4to. 83 x6, bds. 25. 6d. net (Great engravers) ..HEINEMANN, Oct. 12",192,202,,,Marcantonio and Italian engravers and etchers of the 16th Century.,4to.,"83 x6, bds. 25. 6d. net (Great engravers)",HEINEMANN,Oct. 12,False,1912
"Marchant (Bessie)-His great surrender. Cr. 8vo., pp. 156, Is. 6d. ..S. P. C. K., Oct. 12",192,202,,Marchant (Bessie),His great surrender.,Cr. 8vo.,"pp. 156, Is. 6d. ..",S.P.C.K.,Oct. 12,False,1912
"Marchant (Bessie)-The Sibyl of St. Pierre: a Cr. 8vo. tale of Martinique. 78 X5, pp. 318, 6s. ...MILLS & B., Jan. 12",192,202,,Marchant (Bessie),The Sibyl of St. Pierre: a Cr. 8vo. tale of Martinique.,,"78 X5, pp. 318, 6s. ...",MILLS & B.,Jan. 12,False,1912
"Mann (Mary E.)—The Sheep and the goats. 8vo, swd. 6d. AMALGAMATED PRESS, Feb. 12",192,202,,Mann (Mary E.),The Sheep and the goats.,"8vo, swd.",6d.,AMALGAMATED PRESS,Feb. 12,False,1912
"Manual for the sick and sorrowful (A). Arranged by E. S. L. 4th edit. Cr. 8vo. 71 44, pp. 200, 28. net .MOWBRAY, Mar. 12",192,202,,,Manual for the sick and sorrowful (A). Arranged by E. S. L. 4th edit.,Cr. 8vo.,"71 44, pp. 200, 28. net .",MOWBRAY,Mar. 12,False,1912
Manual of cartomancy (A): fortune-telling and occult divination. By Grand Orient. 5th. edit. including two additional sections. Cr. 8vo.,192,202,,,Manual of cartomancy (A): fortune-telling and occult divination. By Grand Orient. 5th. edit. including two additional sections.,Cr. 8vo.,,,,False,1912
"Marichal (J. P. R.)—Vocabulaire Français : French vocabularies for repetition. Cr. 8vo. IS. 6d. ..BELL, Oct. 12",192,202,,Marichal (J. P. R.),Vocabulaire Français : French vocabularies for repetition.,Cr. 8vo.,IS. 6d. ..,BELL,Oct. 12,False,1912
"Manwell (M. B.)-The Girls of St. Ursula’s. Cr. 8vo. 71 X41, pp. 168, is. 6d. PARTRIDGE, Sep. 12",192,202,,Manwell (M. B.),The Girls of St. Ursula’s.,Cr. 8vo.,"71 X41, pp. 168, is. 6d.",PARTRIDGE,Sep. 12,False,1912
