,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
6755,"Murray (M. A. Ancient Egyptian legends Ryl. 16mo. 64 x 41, pp. 120, 2s. net (Wisdom of the East) • MURRAY, Jan. 13",Murray,"M. A. Ancient Egyptian legends Ryl. 16mo. 64 x 41, pp. 120, 2s. net (Wisdom of the East",,MURRAY,,,"Murray (M. A. Ancient Egyptian legends Ryl. 16mo. 64 x 41, pp. 120, 25. net (Wisdom of the East) • MURRAY, Jan. 13","M. A. Ancient Egyptian legends Ryl. 16mo. 64 x 41, pp. 120, 2s. net (Wisdom of the East Murray","['Murray (M. A. Ancient Egyptian legends Ryl. 16mo. 64 x 41, pp. 120, 2s. net (Wisdom of the East)']",,Jan. 13,1913,
6787,"Nathalia, Whishaw (F.) 6s. Nathan's Common law of South Africa. Vols. I and 2. 2nd edit. 8vo., ea. 428. net BUTTERWORTH, May 13","Nathalia, Whishaw",F.,,BUTTERWORTH,,8vo.,"Nathalia, Whishaw (F.) 6s. Nathan's Common law of South Africa. Vols. I and 2. 2nd edit. 8vo., ea. 428. net BUTTERWORTH, May 13","F. Nathalia, Whishaw","['Nathalia, Whishaw (F.)']",,May 13,1913,
6810,"Navy_Naval saving bank account, id. (post free) WYMAN, Jan. 13",,,,WYMAN,,,"Navy_Naval saving bank account, id. (post free) WYMAN, Jan. 13",,,,Jan. 13,1913,
6834,"12mo., pp. 576, is. net..... .NELSON, Feb. 13",,,,NELSON,,,"12mo., pp. 576, is. net..... .NELSON, Feb. 13",,,,Feb. 13,1913,
6856,"New curate, Keedwell (H. M.) 1s, net. New cyclopædia of illustrative anecdotes (The) : religious and moral, original and selected. 8vo. 8 X54, pp. 576, 3s. 6d. net (Tools for teachers ser., .E. STOCK, Sep. 13","New curate, Keedwell",H. M.,,E. STOCK,,8vo.,"New curate, Keedwell (H. M.) Is, net. New cyclopædia of illustrative anecdotes (The) : religious and moral, original and selected. 8vo. 8 X54, pp. 576, 35. 6d. net (Tools for teachers ser., .E. STOCK, Sep. 13","H. M. New curate, Keedwell","['New curate, Keedwell (H. M.)']",,Sep. 13,1913,
6923,"Noble (Margaret E.) see Nivedita (Sister) Noble (Mrs. Nicholas)-Druidean the mystic, and other Irish stories. 12mo. 61 X5, pp. 93, 1s. (Dundalk) W. TEMPEST, Nov. 13",Noble,Margaret E.,,W. TEMPEST,1s.,,"Noble (Margaret E.) see Nivedita (Sister) Noble (Mrs. Nicholas)-Druidean the mystic, and other Irish stories. 12mo. 61 X5, pp. 93, Is. (Dundalk) W. TEMPEST, Nov. 13",Margaret E. Noble,['Noble (Margaret E.)'],,Nov. 13,1913,
7102,"Other Sara, Yorke (C.) 7d. net..... Others and she (The) ; by “ Him. Cr. 8vo., 6s. OUSELEY, Feb. 13","Other Sara, Yorke",C.,,OUSELEY,6s.,8vo.,"Other Sara, Yorke (C.) 7d. net..... Others and she (The) ; by “ Him. Cr. 8vo., 6s. OUSELEY, Feb. 13","C. Other Sara, Yorke","['Other Sara, Yorke (C.)']",,Feb. 13,1913,
7178,"Palmer (W. H.)—600 questions and 600 answers in elementary musical theory. Cr. 8vo., 28. net ; swd., 1s. net.... REEVES & TURNER, Apr. 13",Palmer,W. H.,,REEVES & TURNER,1s.,8vo.,"Palmer (W. H.)—600 questions and 600 answers in elementary musical theory. Cr. 8vo., 28. net ; swd., Is. net.... REEVES & TURNER, Apr. 13",W. H. Palmer,['Palmer (W. H.)'],,Apr. 13,1913,net
7205,"Parasite, Martin (H. R.) 6s. Parasitology. Quarterly. Ea. Ios. net CAMB. UNIV. PRESS, Feb., &c., 13","Parasite, Martin",H. R.,,CAMB. UNIV. PRESS,,,"Parasite, Martin (H. R.) 6s. Parasitology. Quarterly. Ea. Ios. net CAMB. UNIV. PRESS, Feb., &c., 13","H. R. Parasite, Martin","['Parasite, Martin (H. R.)']",,"Feb., &c., 13",1913,
7210,"MACMILLAN, May 13",,,,MACMILLAN,,,"MACMILLAN, May 13",,,,May 13,1913,
